file,table,column,type,notes
providers.csv,providers.Provider,provider_id,string,Primary key (P001 etc.)
providers.csv,providers.Provider,name,mixed,
providers.csv,providers.Provider,contact_name,mixed,
providers.csv,providers.Provider,contact_email,mixed,
providers.csv,providers.Provider,contact_phone,mixed,
providers.csv,providers.Provider,address,mixed,
providers.csv,providers.Provider,email_notifications,mixed,
providers.csv,providers.Provider,sms_notifications,mixed,
providers.csv,providers.Provider,preferred_language,mixed,
providers.csv,providers.Provider,status,mixed,
providers.csv,providers.Provider,created_at,mixed,
users.csv,accounts.User,user_id,mixed,
users.csv,accounts.User,provider_id,mixed,
users.csv,accounts.User,name,mixed,
users.csv,accounts.User,email,mixed,
users.csv,accounts.User,role,mixed,
users.csv,accounts.User,status,mixed,
users.csv,accounts.User,created_at,mixed,
users.csv,accounts.User,material_number,mixed,
users.csv,accounts.User,experience_level,mixed,
users.csv,accounts.User,technology_level,mixed,
users.csv,accounts.User,performance_grade,mixed,
users.csv,accounts.User,average_daily_rate,mixed,
users.csv,accounts.User,skills,string,"Flattened list: ""Skill1 | Skill2 | ..."""
users.csv,accounts.User,availability,mixed,
users.csv,accounts.User,service_requests_completed,mixed,
users.csv,accounts.User,service_orders_active,mixed,
users.csv,accounts.User,is_active,mixed,
users.csv,accounts.User,is_staff,mixed,
contracts.csv,contracts.Contract,contract_id,mixed,
contracts.csv,contracts.Contract,title,mixed,
contracts.csv,contracts.Contract,status,mixed,
contracts.csv,contracts.Contract,kind,mixed,
contracts.csv,contracts.Contract,published_at,mixed,
contracts.csv,contracts.Contract,offer_deadline,mixed,
contracts.csv,contracts.Contract,start_date,mixed,
contracts.csv,contracts.Contract,end_date,mixed,
contracts.csv,contracts.Contract,awarded_provider_id,mixed,
contracts.csv,contracts.Contract,functional_weight,mixed,
contracts.csv,contracts.Contract,commercial_weight,mixed,
contracts.csv,contracts.Contract,scope_of_work,mixed,
contracts.csv,contracts.Contract,terms_and_conditions,mixed,
contracts.csv,contracts.Contract,accepted_request_types,string,Flattened list
contracts.csv,contracts.Contract,allowed_domains,string,Flattened list
contracts.csv,contracts.Contract,allowed_roles,string,Flattened list
contracts.csv,contracts.Contract,experience_levels,string,Flattened list
contract_awards.csv,contracts.ContractAward,contract_id,mixed,
contract_awards.csv,contracts.ContractAward,provider_id,mixed,
contract_awards.csv,contracts.ContractAward,awarded_at,mixed,
contract_awards.csv,contracts.ContractAward,created_by_system,mixed,
contract_awards.csv,contracts.ContractAward,note,mixed,
contract_offers.csv,contracts.ContractOffer,contract_offer_id,mixed,
contract_offers.csv,contracts.ContractOffer,contract_id,mixed,
contract_offers.csv,contracts.ContractOffer,provider_id,mixed,
contract_offers.csv,contracts.ContractOffer,created_by_user_id,mixed,
contract_offers.csv,contracts.ContractOffer,status,mixed,
contract_offers.csv,contracts.ContractOffer,proposed_daily_rate,mixed,
contract_offers.csv,contracts.ContractOffer,proposed_terms,mixed,
contract_offers.csv,contracts.ContractOffer,note,mixed,
